likes,comment_count,mediatype,media_id,follower_count,sentiment_average
625977,5666,2,3229508169541433972_2278169415,46082571,0.3292
2699396,18964,8,3228722089224462980_2278169415,46082571,0.484
1323071,4503,2,3228132418989080740_2278169415,46082571,0.3861
1277938,7324,2,3227301016087955284_2278169415,46082571,0.4034
1128553,7278,2,3226675054326949290_2278169415,46082571,0.3409
1856253,15504,8,3223647982774574341_2278169415,46082571,0.0389
492020,5460,2,3222209087411224652_2278169415,46082571,0.4084
943323,8546,2,3220024099462727162_2278169415,46082571,0.2802
535411,11190,2,3217883423539303737_2278169415,46082571,0.3278
1416436,10519,8,3217065808575104626_2278169415,46082571,0.3188
526887,34838,2,3215729006648032664_2278169415,46082571,-0.0495
4288921,44233,2,3214276050711001319_2278169415,46082571,0.2513
3320488,18099,8,3213501309243010359_2278169415,46082571,0.1577
987502,17120,2,3212102033241667729_2278169415,46082571,0.4669
447001,8853,2,3208427663411530877_2278169415,46082571,0.3561
979187,6335,2,3207029219987991230_2278169415,46082571,0.2138
848496,6522,2,3201933493084524341_2278169415,46082571,0.209
1674943,12082,2,3201206224434364342_2278169415,46082571,0.3135
399815,5396,2,3196831672099024523_2278169415,46082571,0.2777
1494230,6344,2,3195412034630823103_2278169415,46082571,0.4439
19450,253,1,3229725484299424441_46218147,4812415,0.2186
19839,267,1,3229634887819469493_46218147,4812415,-0.0869
40207,561,1,3228940317268481017_46218147,4812415,0.371
14208,165,1,3228849716761645875_46218147,4812415,0.3423
19256,95,2,3228298706347556774_46218147,4812415,0.1775
42770,422,1,3228276434341680581_46218147,4812415,0.0645
59018,492,1,3228246234270598749_46218147,4812415,0.2856
124295,1566,2,3228242657251497508_46218147,4812415,0.079
18089,361,8,3228200364984943942_46218147,4812415,0.0174
60766,363,1,3228155642538755596_46218147,4812415,0.2843
81199,3020,1,3228125473019983241_46218147,4812415,0.2113
46504,560,2,3228095313809012823_46218147,4812415,0.1024
165569,872,2,3228046350016696219_46218147,4812415,0.1528
19790,425,1,3228034856356695751_46218147,4812415,0.2268
21452,86,2,3227997345639068165_46218147,4812415,0.0746
33251,695,1,3227974450275233103_46218147,4812415,-0.0082
68167,1310,1,3227945114323260055_46218147,4812415,0.2371
29949,312,1,3227914061114042652_46218147,4812415,0.1545
43360,283,2,3227883476777715576_46218147,4812415,0.1528
23176,122,1,3227581860602967169_46218147,4812415,0.3653
294014,2539,2,3220736477444695936_1522837371,25533740,0.3087
307315,2670,1,3217818828153652897_1522837371,25533740,-0.2431
184659,3759,2,3214979170646888640_1522837371,25533740,-0.1566
465553,4789,8,3213507759444616675_1522837371,25533740,0.2011
164572,2609,8,3206255146613633270_1522837371,25533740,0.1824
506737,15440,1,3204792351829315679_1522837371,25533740,-0.0929
230017,1209,8,3202628029778789071_1522837371,25533740,0.466
155152,3835,8,3192488891001266535_1522837371,25533740,0.0301
126224,5411,8,3187409631482543631_1522837371,25533740,0.0638
37893,2511,2,3186776548975678282_1522837371,25533740,-0.0907
159771,1540,8,3185968403340566619_1522837371,25533740,0.1797
148699,1685,2,3184635148839122251_1522837371,25533740,0.1437
406187,1329,8,3181611296465055013_1522837371,25533740,0.2838
459412,1587,8,3175114422245490304_1522837371,25533740,0.0273
366891,2770,8,3172135122743614265_1522837371,25533740,0.1777
333520,1301,8,3169985505746514996_1522837371,25533740,0.1731
518693,1871,8,3169278884456217091_1522837371,25533740,0.0166
709502,9616,8,3163529107760690547_1522837371,25533740,-0.0435
977431,17712,8,3163186913170618685_1522837371,25533740,-0.2643
569674,4895,2,3163068699539663854_1522837371,25533740,0.0617
242993,873,8,3226053595585573933_185923994,5602751,0.1984
402334,2920,8,3225293154529622247_185923994,5602751,0.3362
396383,1636,8,3223069929125884905_185923994,5602751,0.3146
443324,1572,8,3221006987705500386_185923994,5602751,0.059
260975,623,8,3220125166201481718_185923994,5602751,0.3111
345318,1229,8,3217944694545527816_185923994,5602751,0.1919
453877,7443,8,3216481216693631528_185923994,5602751,0.2251
164276,447,8,3215085152540059376_185923994,5602751,0.2783
328768,1137,8,3213673026608251694_185923994,5602751,0.4227
214910,2144,8,3210727390280532635_185923994,5602751,0.2612
-1,228,2,3205703610125884705_185923994,5602751,0.3432
472739,1472,8,3203573195474924862_185923994,5602751,0.5237
56371,268,2,3203551045992867687_7229533,2745837,0.1704
230033,805,8,3201395938198127159_185923994,5602751,0.3314
-1,2315,8,3199965337055171958_185923994,5602751,0.2037
161104,2940,8,3192626667239393718_185923994,5602751,0.2928
201530,791,8,3191221684802601687_185923994,5602751,0.2998
307081,829,8,3190513028788202663_185923994,5602751,0.3871
154560,485,8,3188936842824068142_185923994,5602751,0.3703
168043,1759,8,3185427603203739131_185923994,5602751,0.2914
770669,2336,2,3223601831245480596_176618189,66555211,0.2359
5186807,7966,8,3216275460798948281_176618189,66555211,0.0836
5990983,10748,8,3207040395979069983_176618189,66555211,0.6
2856594,3585,8,3193189390069915581_176618189,66555211,0.1231
2887914,4693,1,3181764058260341606_176618189,66555211,0.2093
2458706,4672,1,3177565992539130683_176618189,66555211,-0.0388
3115671,7855,1,3170625455614405325_176618189,66555211,0.3263
6922260,27415,1,3142333718622228864_176618189,66555211,0.12
1634165,2950,1,3141546364420701767_176618189,66555211,0.4945
1476007,3049,1,3136521642855203814_176618189,66555211,0.5697
990756,1357,2,3135324805187834339_176618189,66555211,0.499
3364947,4601,8,3131538939013556227_176618189,66555211,0.4544
1315606,3765,1,3126529277214098835_176618189,66555211,0.2581
4767753,12014,1,3125072061617599199_176618189,66555211,0.4468
1003312,1257,1,3122217913938091075_176618189,66555211,0.3363
2142413,3860,2,3121490395702502320_176618189,66555211,0.4409
5082480,21318,1,3115827634247090877_176618189,66555211,0.4927
1042301,3380,1,3114419581942603845_176618189,66555211,0.3558
6182225,7761,8,3113469971593996968_176618189,66555211,0.4772
911258,1161,2,3108435924328442228_176618189,66555211,0.3839
2692,86,1,3229000889745305424_3181286600,923269,-0.0304
824,23,1,3228796874948532549_3181286600,923269,0.2305
5054,52,2,3228736269563733064_3181286600,923269,0.1951
4547,85,2,3228332774950485166_3181286600,923269,0.3085
1795,21,1,3228208006117028800_3181286600,923269,0.335
12603,133,1,3228148532379763816_3181286600,923269,0.2033
20534,390,1,3228107391920356896_3181286600,923269,0.1494
6290,99,1,3227966454941730376_3181286600,923269,0.2081
4266,89,2,3227424366384627143_3181286600,923269,0.1398
3897,85,2,3225969749486384159_3181286600,923269,0.2275
3905,112,2,3223013842246156396_3181286600,923269,0.248
2842,143,8,3222924798546880670_3181286600,923269,0.2762
15168,431,8,3221570344967825391_3181286600,923269,0.3159
11218,303,1,3216521411279136072_3181286600,923269,-0.0025
4421,124,8,3215051455257899446_3181286600,923269,0.0136
2202,106,2,3210053016829530847_3181286600,923269,-0.0108
3248,45,1,3207780811985711136_3181286600,923269,0.0746
2484,112,1,3202722092298050867_3181286600,923269,0.157
8359,290,8,3201935333293283303_3181286600,923269,0.3036
3340,351,8,3166543483816885859_3181286600,923269,-0.1492
729680,2153,8,3228049970622343141_325734299,215730317,0.3515
1059855,6463,2,3224551840910318833_325734299,215730317,0.3228
1196368,5835,8,3217734476012074612_325734299,215730317,-0.1279
2060267,16395,8,3202714864638561061_325734299,215730317,0.456
1728925,8996,8,3199006057157157379_325734299,215730317,0.323
1231488,4457,8,3198409078076812606_325734299,215730317,0.4986
431787,2493,1,3198356063785364525_325734299,215730317,0.5738
1349206,7180,8,3196182439265112581_325734299,215730317,0.5463
846929,4468,1,3195280046855633644_325734299,215730317,0.4494
980937,3995,8,3189614153697267068_325734299,215730317,0.2576
970266,5930,8,3186684650516635049_325734299,215730317,0.1416
1783564,7268,8,3184584834360324341_325734299,215730317,0.4302
620329,3190,1,3181565069540120223_325734299,215730317,0.4297
793206,3635,1,3179480052828369704_325734299,215730317,0.2826
1003266,4436,2,3178103725202007004_325734299,215730317,0.5696
1522312,12975,2,3177350780097374852_325734299,215730317,0.5211
3389243,37621,2,3176899718999657425_325734299,215730317,0.3784
1227764,14698,2,3176534187066893136_325734299,215730317,0.6714
593988,2909,2,3175814952321607453_325734299,215730317,0.1866
752572,5326,8,3175087632789823809_325734299,215730317,0.409
4089488,202,1,3207534153154811191_14455831,144410632,0.3381
1256422,43,1,3229230054319431225_14455831,144410632,0.0412
2789880,91,8,3224571592415318576_14455831,144410632,-0.1418
1766102,54,8,3221690692182655061_14455831,144410632,0.0233
1771039,118,1,3221079776915118281_14455831,144410632,0.5924
2377327,148,1,3215106091167488947_14455831,144410632,0.428
2029226,206,2,3214442638090043114_14455831,144410632,0.6666
286375,19,1,3214318491942808792_14455831,144410632,0
816320,23,1,3212385651206438186_14455831,144410632,0.2705
1653110,59,8,3211833201131088094_14455831,144410632,0.4101
1241571,83,8,3210053913654360473_14455831,144410632,0.2971
854951,42,8,3210052552334361945_14455831,144410632,0.3985
816881,46,8,3210051614781501188_14455831,144410632,0.5709
414831,21,1,3210051174178350988_14455831,144410632,0.5233
1449692,82,8,3209520897811198307_14455831,144410632,0.1571
1903220,52,8,3209364555003721003_14455831,144410632,0.1303
1446575,63,8,3209013656251206673_14455831,144410632,0.1122
1214058,72,8,3208991457972752539_14455831,144410632,0.437
2792102,59,8,3208189813022441749_14455831,144410632,0.1147
1004358,67,2,3208135769272636482_14455831,144410632,-0.0335
610076,4898,8,3222367884583567157_3255807,42470202,0.3791
194675,1238,8,3220769748745061738_3255807,42470202,0.3085
185871,688,1,3212051537605146017_884636767,489405,0.4528
107340,675,8,3208748223304553715_3255807,42470202,-0.0855
255968,1067,8,3197526328643051139_3255807,42470202,0.3449
190084,962,8,3196262194601461353_3255807,42470202,0.3236
331070,1368,8,3195649576731771384_3255807,42470202,0.3879
178850,1347,2,3192633438305382618_3255807,42470202,0.4495
269032,1082,8,3188828094110173759_3255807,42470202,0.3389
165803,840,2,3172199430187617678_3255807,42470202,0.1138
235039,1305,8,3170072645970017706_3255807,42470202,0.5505
605350,2936,8,3159170340487128263_3255807,42470202,0.4133
142195,718,1,3154572164170464627_23962229,1265733,0.4258
1022598,3837,8,3142394972514205518_3255807,42470202,0.3837
133979,1165,2,3137539682880307461_4180389808,502647,0.5064
269313,1432,8,3133945828527105146_3255807,42470202,0.4614
792631,4748,8,3112773179134593117_3255807,42470202,0.392
632185,3619,2,3108563737016050886_3255807,42470202,0.192
113790,1179,2,3104058948597108347_3255807,42470202,0.3915
561787,4365,2,3100585075725816310_3255807,42470202,0.3787
76417,2061,1,3212716515694523779_184595688,27108507,0.0949
196199,4895,2,3124294042242490454_184595688,27108507,0.0961
47222,1349,1,3227273376267731266_184595688,27108507,0.0847
53960,1857,1,3227213065883969505_184595688,27108507,-0.0221
28247,1123,1,3226006298546060943_184595688,27108507,0.1905
34669,1216,1,3225762706581783172_184595688,27108507,-0.1878
206966,6589,2,3222165276653141723_184595688,27108507,-0.0451
93208,3293,1,3220690252595326386_184595688,27108507,-0.1879
34230,940,1,3217868242185898525_184595688,27108507,-0.2451
288008,5292,8,3217109456144014569_184595688,27108507,0.2194
37202,664,1,3217067113017731197_184595688,27108507,0.1668
30641,626,1,3215872012429821190_184595688,27108507,-0.0351
32778,536,1,3212833700790305685_184595688,27108507,-0.1314
54524,998,1,3212732469778529993_184595688,27108507,-0.1463
44938,644,1,3212101903651615042_184595688,27108507,0.0686
166870,1671,1,3212031713408612834_184595688,27108507,0.2516
51165,629,1,3211997173952793373_184595688,27108507,0.3828
43400,1220,1,3210542559101431238_184595688,27108507,-0.1953
81468,1330,1,3207705337209620725_184595688,27108507,-0.1096
53398,895,1,3206949866572081009_184595688,27108507,0.1669
